exercise,num_videos,percent
barbell biceps curl,111,7.816901408450705
bench press,94,6.619718309859154
squat,87,6.126760563380282
push-up,83,5.845070422535211
decline bench press,81,5.704225352112676
chest fly machine,76,5.352112676056338
hammer curl,73,5.140845070422535
incline bench press,72,5.070422535211268
deadlift,69,4.859154929577465
lat pulldown,67,4.71830985915493
tricep Pushdown,66,4.647887323943662
leg raises,65,4.577464788732395
t bar row,62,4.366197183098591
pull Up,61,4.295774647887324
leg extension,58,4.084507042253521
hip thrust,56,3.943661971830986
romanian deadlift,55,3.873239436619718
lateral raise,55,3.873239436619718
russian twist,52,3.6619718309859155
tricep dips,40,2.8169014084507045
shoulder press,37,2.6056338028169015
