exercise,test_videos,train_videos,total_videos
plank,2,151,153
barbell biceps curl,2,111,113
bench press,3,94,97
squat,3,87,90
push-up,2,83,85
decline bench press,3,81,84
chest fly machine,4,76,80
hammer curl,3,73,76
incline bench press,3,72,75
deadlift,2,69,71
lat pulldown,3,67,70
tricep Pushdown,2,66,68
leg raises,3,65,68
t bar row,3,62,65
pull Up,3,61,64
leg extension,3,58,61
hip thrust,3,56,59
romanian deadlift,3,55,58
lateral raise,2,55,57
russian twist,3,52,55
tricep dips,3,40,43
shoulder press,3,37,40
