exercise,num_videos,avg_duration,median_duration,min_duration,max_duration,avg_fps,common_resolution
barbell biceps curl,111,6.386790541550697,6.7,1.6349666666666667,13.566666666666666,29.618682368682368,1920x1080
bench press,94,5.5637051754282,4.140000000000001,1.2,11.011000000000001,28.758498593604976,1920x1080
squat,87,8.73478295019157,10.0,1.9602916666666665,12.6126,28.546752098476237,1280x720
push-up,83,6.777922272042619,5.005,2.736066666666667,13.713700000000001,33.25619020495314,1920x1080
decline bench press,81,9.50570984539075,10.01,2.8361666666666663,12.866666666666667,32.391631002742116,1920x1080
chest fly machine,76,7.8798126096491234,10.0,2.6,12.8,29.574596456175403,1920x1080
hammer curl,73,8.90671792237443,10.0,1.7,13.9139,31.271249298646563,1920x1080
incline bench press,72,7.0855550925925925,10.0,1.3346666666666667,10.75,27.66473803973804,1280x720
deadlift,69,7.543034290344279,10.0,1.9686333333333335,10.075949367088608,28.806392882479837,1920x1080
lat pulldown,67,5.869486318407961,4.971633333333333,1.2679333333333334,13.388375,28.54801914503407,1280x720
tricep Pushdown,66,5.1165943014893855,3.1364666666666667,1.0010000000000001,12.291666666666666,29.732507825507824,1920x1080
leg raises,65,9.148064829059829,10.0,2.5025,13.863855555555556,29.49561171069952,1920x1080
t bar row,62,9.090018931027803,10.01,3.5869166666666663,13.8138,28.55705294705295,1280x720
pull Up,61,8.158255464480876,10.0,1.9185833333333333,13.413400000000001,33.716498078511236,1280x720
leg extension,58,8.978335278280083,10.0,2.2939583333333333,13.680333333333333,31.350636155288157,1280x720
hip thrust,56,8.935570386904763,10.0,2.92,13.713700000000001,28.986299414870842,1280x720
lateral raise,55,8.07658409090909,9.0,2.419083333333333,13.179833333333333,27.583870674779767,1280x720
romanian deadlift,55,9.403981212121213,10.01,3.6703333333333332,13.2,27.163836163836166,1280x720
russian twist,52,9.205004342314663,10.01,4.004,12.929583333333332,26.58255405497529,1280x720
tricep dips,40,8.98815202457265,10.0,2.2,13.013,28.87954010275439,1280x720
shoulder press,37,9.627191172927802,10.01,4.72,13.413400000000001,28.727351477351476,1920x1080
