,precision,recall,f1-score,support
barbell biceps curl,0.7936267071320182,0.7273991655076495,0.7590711175616836,719.0
bench press,0.6851145038167938,0.6970873786407767,0.6910490856592878,515.0
chest fly machine,0.9153846153846154,0.9459459459459459,0.9304143862392494,629.0
deadlift,0.8271604938271605,0.8799249530956847,0.8527272727272728,533.0
decline bench press,0.8778705636743215,0.9072276159654801,0.8923076923076924,927.0
hammer curl,0.7975,0.8529411764705882,0.8242894056847545,748.0
hip thrust,0.9288537549407114,0.8867924528301887,0.9073359073359073,530.0
incline bench press,0.8861283643892339,0.904862579281184,0.895397489539749,473.0
lat pulldown,0.9129213483146067,0.8689839572192514,0.8904109589041096,374.0
lateral raise,0.8785871964679912,0.9066059225512528,0.8923766816143498,439.0
leg extension,0.9393939393939394,0.9087947882736156,0.9238410596026491,614.0
leg raises,0.9445277361319341,0.973724884080371,0.958904109589041,647.0
pull Up,0.9521367521367521,0.8912,0.9206611570247933,625.0
push-up,0.9415121255349501,0.944206008583691,0.9428571428571428,699.0
romanian deadlift,0.8531187122736419,0.8217054263565892,0.8371174728529122,516.0
russian twist,0.9649122807017544,0.9503239740820735,0.9575625680087051,463.0
shoulder press,0.8648648648648649,0.9411764705882353,0.9014084507042254,374.0
squat,0.9508816120906801,0.9556962025316456,0.9532828282828283,790.0
t bar row,0.8817733990147784,0.9163822525597269,0.8987447698744769,586.0
tricep Pushdown,0.8827586206896552,0.807570977917981,0.8434925864909391,317.0
tricep dips,0.9208211143695014,0.8284960422163589,0.8722222222222222,379.0
accuracy,0.8850130284945784,0.8850130284945784,0.8850130284945784,0.8850130284945784
macro avg,0.8857070811976144,0.8817641987951566,0.8831178269087616,11897.0
weighted avg,0.8857063849740633,0.8850130284945784,0.8848096437876037,11897.0
