,precision,recall,f1-score,support
barbell biceps curl,0.7453083109919572,0.7732962447844228,0.7590443686006826,719.0
bench press,0.6932270916334662,0.6757281553398058,0.6843657817109144,515.0
chest fly machine,0.9191290824261276,0.9395866454689984,0.9292452830188679,629.0
deadlift,0.8528864059590316,0.8592870544090057,0.8560747663551402,533.0
decline bench press,0.8649214659685864,0.8910463861920173,0.8777895855472901,927.0
hammer curl,0.8219354838709677,0.8516042780748663,0.8365068942875903,748.0
hip thrust,0.916504854368932,0.8905660377358491,0.9033492822966507,530.0
incline bench press,0.8376237623762376,0.8942917547568711,0.8650306748466258,473.0
lat pulldown,0.8315508021390374,0.8315508021390374,0.8315508021390374,374.0
lateral raise,0.893569844789357,0.9179954441913439,0.9056179775280899,439.0
leg extension,0.9601386481802426,0.9022801302931596,0.9303106633081444,614.0
leg raises,0.9813374805598756,0.9752704791344667,0.9782945736434109,647.0
pull Up,0.9542372881355933,0.9008,0.9267489711934156,625.0
push-up,0.9491525423728814,0.9613733905579399,0.9552238805970149,699.0
romanian deadlift,0.8352941176470589,0.8255813953488372,0.8304093567251462,516.0
russian twist,0.9427312775330396,0.9244060475161987,0.9334787350054525,463.0
shoulder press,0.8384615384615385,0.8743315508021391,0.856020942408377,374.0
squat,0.9486215538847118,0.9582278481012658,0.9534005037783375,790.0
t bar row,0.8328173374613003,0.9180887372013652,0.8733766233766234,586.0
tricep Pushdown,0.8924731182795699,0.7854889589905363,0.8355704697986577,317.0
tricep dips,0.9732441471571907,0.7678100263852242,0.8584070796460177,379.0
accuracy,0.8792973018408002,0.8792973018408002,0.8792973018408002,0.8792973018408002
macro avg,0.8802460073427002,0.8723148270201596,0.8752293912291184,11897.0
weighted avg,0.8810643743357212,0.8792973018408002,0.8793839882290374,11897.0
