,precision,recall,f1-score,support
barbell biceps curl,0.7648648648648648,0.7872044506258693,0.7758738862234407,719.0
bench press,0.6997929606625258,0.6563106796116505,0.6773547094188377,515.0
chest fly machine,0.9285714285714286,0.9507154213036566,0.9395129615082483,629.0
deadlift,0.8324324324324325,0.8667917448405253,0.8492647058823529,533.0
decline bench press,0.864158829676071,0.8921251348435815,0.8779193205944799,927.0
hammer curl,0.8370565045992115,0.8516042780748663,0.8442677269715043,748.0
hip thrust,0.9292543021032504,0.9169811320754717,0.9230769230769231,530.0
incline bench press,0.8625498007968128,0.9154334038054969,0.8882051282051282,473.0
lat pulldown,0.8621621621621621,0.8529411764705882,0.8575268817204301,374.0
lateral raise,0.9311163895486936,0.8929384965831435,0.9116279069767442,439.0
leg extension,0.946551724137931,0.8941368078175895,0.9195979899497487,614.0
leg raises,0.9522342064714946,0.955177743431221,0.9537037037037037,647.0
pull Up,0.9207920792079208,0.8928,0.9065800162469537,625.0
push-up,0.9351724137931035,0.9699570815450643,0.952247191011236,699.0
romanian deadlift,0.8421052631578947,0.8062015503875969,0.8237623762376237,516.0
russian twist,0.9731543624161074,0.9395248380129589,0.9560439560439561,463.0
shoulder press,0.8471502590673575,0.8743315508021391,0.8605263157894737,374.0
squat,0.9448621553884712,0.9544303797468354,0.9496221662468514,790.0
t bar row,0.8817567567567568,0.8907849829351536,0.8862478777589134,586.0
tricep Pushdown,0.8253968253968254,0.8201892744479495,0.8227848101265823,317.0
tricep dips,0.9169054441260746,0.8443271767810027,0.8791208791208791,379.0
accuracy,0.8821551651676893,0.8821551651676893,0.8821551651676893,0.8821551651676893
macro avg,0.8808591031113043,0.8773765382924933,0.8788032110863814,11897.0
weighted avg,0.8823804796472512,0.8821551651676893,0.8819811225284255,11897.0
