,precision,recall,f1-score,support
barbell biceps curl,0.7324503311258278,0.7691237830319889,0.7503392130257802,719.0
bench press,0.7122736418511066,0.6873786407766991,0.6996047430830039,515.0
chest fly machine,0.9197530864197531,0.9475357710651828,0.9334377447141738,629.0
deadlift,0.8269961977186312,0.8161350844277674,0.8215297450424929,533.0
decline bench press,0.8587512794268168,0.9050701186623517,0.8813025210084033,927.0
hammer curl,0.8232189973614775,0.8342245989304813,0.8286852589641435,748.0
hip thrust,0.93158953722334,0.8735849056603774,0.9016553067185978,530.0
incline bench press,0.8481262327416174,0.9090909090909091,0.8775510204081632,473.0
lat pulldown,0.8806818181818182,0.8288770053475936,0.8539944903581267,374.0
lateral raise,0.8988505747126436,0.8906605922551253,0.8947368421052632,439.0
leg extension,0.9473684210526315,0.9087947882736156,0.9276807980049875,614.0
leg raises,0.9700315457413249,0.9505409582689336,0.9601873536299765,647.0
pull Up,0.9288079470198676,0.8976,0.9129373474369405,625.0
push-up,0.9341736694677871,0.9542203147353362,0.9440905874026894,699.0
romanian deadlift,0.800376647834275,0.8236434108527132,0.8118433619866284,516.0
russian twist,0.9539473684210527,0.9395248380129589,0.9466811751904244,463.0
shoulder press,0.8320802005012531,0.8877005347593583,0.8589909443725744,374.0
squat,0.9375,0.9493670886075949,0.9433962264150944,790.0
t bar row,0.9113475177304965,0.8771331058020477,0.8939130434782608,586.0
tricep Pushdown,0.8333333333333334,0.804416403785489,0.8186195826645265,317.0
tricep dips,0.9310344827586207,0.8548812664907651,0.8913342503438789,379.0
accuracy,0.8767756577288393,0.8767756577288393,0.8767756577288393,0.8767756577288393
macro avg,0.8767948966963653,0.8718811485160614,0.8739291217311492,11897.0
weighted avg,0.8778543775642099,0.8767756577288393,0.8769461305286366,11897.0
