,precision,recall,f1-score,support
barbell biceps curl,0.7433751743375174,0.741307371349096,0.7423398328690808,719.0
bench press,0.6825095057034221,0.6970873786407767,0.6897214217098944,515.0
chest fly machine,0.9257503949447078,0.931637519872814,0.9286846275752774,629.0
deadlift,0.8503787878787878,0.8424015009380863,0.8463713477851084,533.0
decline bench press,0.8879310344827587,0.8888888888888888,0.8884097035040431,927.0
hammer curl,0.7958387516254877,0.8181818181818182,0.8068556361239289,748.0
hip thrust,0.9272727272727272,0.8660377358490566,0.895609756097561,530.0
incline bench press,0.869120654396728,0.8985200845665962,0.8835758835758836,473.0
lat pulldown,0.8201058201058201,0.8288770053475936,0.824468085106383,374.0
lateral raise,0.8808988764044944,0.8929384965831435,0.8868778280542986,439.0
leg extension,0.9554030874785592,0.9071661237785016,0.9306599832915622,614.0
leg raises,0.9611197511664075,0.955177743431221,0.958139534883721,647.0
pull Up,0.9280936454849499,0.888,0.9076042518397384,625.0
push-up,0.9219380888290714,0.9799713876967096,0.9500693481276006,699.0
romanian deadlift,0.8500986193293886,0.8352713178294574,0.8426197458455523,516.0
russian twist,0.9642857142857143,0.9330453563714903,0.9484083424807903,463.0
shoulder press,0.8004750593824228,0.9010695187165776,0.8477987421383648,374.0
squat,0.92875,0.9405063291139241,0.9345911949685535,790.0
t bar row,0.8659966499162479,0.8822525597269625,0.8740490278951818,586.0
tricep Pushdown,0.8184713375796179,0.8107255520504731,0.8145800316957211,317.0
tricep dips,0.9164179104477612,0.8100263852242744,0.8599439775910365,379.0
accuracy,0.8731613011683618,0.8731613011683618,0.8731613011683618,0.8731613011683618
macro avg,0.8711538852882186,0.8690042892455933,0.8695894430075849,11897.0
weighted avg,0.8742811383902694,0.8731613011683618,0.8733227594829119,11897.0
