,precision,recall,f1-score,support
barbell biceps curl,0.7129750982961992,0.7566063977746871,0.7341430499325237,719.0
bench press,0.6844262295081968,0.6485436893203883,0.6660019940179461,515.0
chest fly machine,0.9434571890145396,0.9284578696343402,0.9358974358974359,629.0
deadlift,0.8414179104477612,0.8461538461538461,0.8437792329279701,533.0
decline bench press,0.8771739130434782,0.8705501618122977,0.8738494856524093,927.0
hammer curl,0.7909090909090909,0.8141711229946524,0.8023715415019763,748.0
hip thrust,0.9251012145748988,0.8622641509433963,0.892578125,530.0
incline bench press,0.8620689655172413,0.8985200845665962,0.8799171842650103,473.0
lat pulldown,0.8217054263565892,0.8502673796791443,0.835742444152431,374.0
lateral raise,0.9322429906542056,0.908883826879271,0.9204152249134948,439.0
leg extension,0.9298831385642737,0.9071661237785016,0.9183841714756801,614.0
leg raises,0.9517884914463453,0.9459041731066461,0.9488372093023256,647.0
pull Up,0.9090909090909091,0.912,0.9105431309904153,625.0
push-up,0.9391424619640387,0.9713876967095851,0.9549929676511955,699.0
romanian deadlift,0.8362573099415205,0.8313953488372093,0.8338192419825073,516.0
russian twist,0.9705882352941176,0.9265658747300216,0.9480662983425414,463.0
shoulder press,0.8447368421052631,0.8582887700534759,0.8514588859416445,374.0
squat,0.9170792079207921,0.9379746835443038,0.9274092615769712,790.0
t bar row,0.8765008576329331,0.8720136518771331,0.874251497005988,586.0
tricep Pushdown,0.8187311178247734,0.8548895899053628,0.8364197530864198,317.0
tricep dips,0.9057142857142857,0.8364116094986808,0.869684499314129,379.0
accuracy,0.871228040682525,0.871228040682525,0.871228040682525,0.871228040682525
macro avg,0.8709995659914976,0.8684960024666447,0.8694553635681437,11897.0
weighted avg,0.872113975423594,0.871228040682525,0.8714104062209671,11897.0
