,precision,recall,f1-score,support
barbell biceps curl,0.7578347578347578,0.7399165507649513,0.7487684729064039,719.0
bench press,0.6825095057034221,0.6970873786407767,0.6897214217098944,515.0
chest fly machine,0.9221183800623053,0.9411764705882353,0.9315499606608969,629.0
deadlift,0.825187969924812,0.8236397748592871,0.8244131455399061,533.0
decline bench press,0.8706986444212722,0.9007551240560949,0.8854718981972428,927.0
hammer curl,0.8205128205128205,0.8556149732620321,0.837696335078534,748.0
hip thrust,0.9518072289156626,0.8943396226415095,0.9221789883268483,530.0
incline bench press,0.8858921161825726,0.9027484143763214,0.8942408376963351,473.0
lat pulldown,0.8446115288220551,0.9010695187165776,0.871927554980595,374.0
lateral raise,0.8766519823788547,0.9066059225512528,0.8913773796192609,439.0
leg extension,0.9470198675496688,0.9315960912052117,0.9392446633825944,614.0
leg raises,0.9540581929555896,0.9629057187017002,0.9584615384615385,647.0
pull Up,0.949740034662045,0.8768,0.9118136439267887,625.0
push-up,0.9499304589707928,0.977110157367668,0.9633286318758815,699.0
romanian deadlift,0.8196078431372549,0.810077519379845,0.8148148148148148,516.0
russian twist,0.9774774774774775,0.937365010799136,0.9570011025358324,463.0
shoulder press,0.8913043478260869,0.8770053475935828,0.8840970350404312,374.0
squat,0.9400749063670412,0.9531645569620253,0.9465744814582024,790.0
t bar row,0.867430441898527,0.9044368600682594,0.885547201336675,586.0
tricep Pushdown,0.8624161073825504,0.8107255520504731,0.8357723577235773,317.0
tricep dips,0.9378698224852071,0.8364116094986808,0.8842398884239888,379.0
accuracy,0.8822392199714214,0.8822392199714214,0.8822392199714214,0.8822392199714214
macro avg,0.882607354070037,0.8781215320992201,0.8799162549379164,11897.0
weighted avg,0.8831048578431319,0.8822392199714214,0.882285823389305,11897.0
