,precision,recall,f1-score,support
barbell biceps curl,0.759233926128591,0.7719054242002782,0.7655172413793103,719.0
bench press,0.7080867850098619,0.6970873786407767,0.7025440313111546,515.0
chest fly machine,0.9114503816793893,0.9491255961844197,0.9299065420560748,629.0
deadlift,0.8396946564885496,0.8255159474671669,0.8325449385052034,533.0
decline bench press,0.8500506585612969,0.9050701186623517,0.8766980146290491,927.0
hammer curl,0.8202824133504493,0.8542780748663101,0.8369351669941061,748.0
hip thrust,0.9378640776699029,0.9113207547169812,0.9244019138755981,530.0
incline bench press,0.8502994011976048,0.9006342494714588,0.8747433264887063,473.0
lat pulldown,0.8598382749326146,0.8529411764705882,0.8563758389261745,374.0
lateral raise,0.9103448275862069,0.9020501138952164,0.9061784897025171,439.0
leg extension,0.9279731993299832,0.9022801302931596,0.9149463253509497,614.0
leg raises,0.9529042386185244,0.9381761978361669,0.9454828660436138,647.0
pull Up,0.9355932203389831,0.8832,0.908641975308642,625.0
push-up,0.9754335260115607,0.9656652360515021,0.9705248023005032,699.0
romanian deadlift,0.8329938900203666,0.7926356589147286,0.8123138033763655,516.0
russian twist,0.9728506787330317,0.9287257019438445,0.9502762430939227,463.0
shoulder press,0.8482587064676617,0.9117647058823529,0.8788659793814433,374.0
squat,0.9467680608365019,0.9455696202531646,0.9461684610512983,790.0
t bar row,0.8386075949367089,0.9044368600682594,0.8702791461412152,586.0
tricep Pushdown,0.8783783783783784,0.8201892744479495,0.8482871125611745,317.0
tricep dips,0.9475308641975309,0.8100263852242744,0.8733997155049786,379.0
accuracy,0.8796335210557283,0.8796335210557283,0.8796335210557283,0.8796335210557283
macro avg,0.8811637028796999,0.8748856478805214,0.8773824730467619,11897.0
weighted avg,0.8809594789402784,0.8796335210557283,0.8797509651533845,11897.0
